Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Peronospora	andicola	Peronospora andicola	Calceolariaceae	Calceolaria biflora	Calceolaria biflora		No	NA	C3		
Peronospora	andina	Peronospora andina	Euphorbiaceae	Euphorbia rhytisperma	Euphorbia rhytisperma		No	NA	C4		
Peronospora	androsaces	Peronospora androsaces	Primulaceae	Androsace elongata	Androsace elongata		No	NA	C3		
Peronospora	antirrhini	Peronospora antirrhini	Plantaginaceae	Misopates orontium (Antirrhinum orontium)	Misopates orontium		No	NA	C3		
Peronospora	aparines	Peronospora aparines	Rubiaceae	Galium aparine	Galium aparine		No	NA	C3		
Peronospora	apiospora	Peronospora apiospora	Ranunculaceae	Ranunculus gramineus	Ranunculus gramineus		No	NA	C3		
Peronospora	apuli	Peronospora apuli	Papaveraceae	Papaver apulum	Papaver apulum		No	NA	C3		
Peronospora	aquatica	Peronospora aquatica	Plantaginaceae	Veronica anagallis-aquatica	Veronica anagallis-aquatica		No	NA	C3		
Peronospora	aquilegiicola	Peronospora aquilegiicola	Ranunculaceae	Aquilegia vulgaris	Aquilegia vulgaris		No	NA	C3		
Peronospora	arborescens	Peronospora arborescens	Papaveraceae	Papaver rhoeas	Papaver rhoeas		No	NA	C3		
Peronospora	arenariae	Peronospora arenariae	Caryophyllaceae	Moehringia trinervia	Moehringia trinervia		No	NA	C3		
Peronospora	argemones	Peronospora argemones	Papaveraceae	Papaver argemone	Papaver argemone		No	NA	C3		
Peronospora	arnebiae	Peronospora arnebiae	Boraginaceae	Arnebia decumbens	Arnebia decumbens		No	NA	C3		
Peronospora	arthurii	Peronospora arthurii	Onagraceae	Oenothera biennis	Oenothera biennis		No	NA	C3		
Peronospora	arvensis	Peronospora arvensis	Plantaginaceae	"P. grisea, Veronica hederifolia"	Veronica hederifolia		No	NA	C3		
Peronospora	asperuginis	Peronospora asperuginis	Boraginaceae	Asperugo procumbens	Asperugo procumbens		No	NA	C3		
Peronospora	astragali	Peronospora astragali	Fabaceae	Astragalus canadensis	Astragalus canadensis		No	NA	C3		
Peronospora	astragali-purpurei	Peronospora astragali-purpurei	Fabaceae	Astragalus hypoglottis (A. purpureus)	Astragalus hypoglottis		No	NA	C3		
Peronospora	astragalina	Peronospora astragalina	Fabaceae	"Astragalus alpinus, Astragalus hancockii [A. norvegicus (A. oroboides)]"	Astragalus alpinus		No	NA	C3		
Peronospora	atlantica	Peronospora atlantica	Caryophyllaceae	"Cerastium atlanticum, C. arvense ssp. strictum "	Cerastium atlanticum		No	NA	C3		
Peronospora	atriplicis-halimi	Peronospora atriplicis-halimi	Amaranthaceae	Atriplex halimus	Atriplex halimus		No	NA	C4		
